JBX09	Bond	James	savings	15984789.74	"Main St., Oracabessa"	St. Mary	1-876-987-5583	10/6/1998	14982882	Personal	379871914764656	396469	8631581
SHW34	Holmes	Sherlock	investment	6489546	Brigade St. Santa Cruz	St. Elizabeth	1-876-759-4441	8/19/1980	13429358	Personal	340160789602704	982132	5670027
THW03	Hardy	Thomas	investment	6548.4	Brigade St. Santa Cruz	St. Elizabeth	1-876-345-9703	7/11/1983	17522218	Personal	373850429633636	952700	5417020
NDW58	Drew	Nancy	investment	48827.5	"12 High St., Black River"	St. Elizabeth	1-876-859-8089	9/16/1985	12479527	Personal	372093460955144	965266	9522566
JJX12	Jones	Jessica	direct banking	85169.08	"15 Old Hope Road, Kgn 5"	KSA	1-876-893-5197	10/20/1986	17858495	Personal	346607058162160	707144	2263895
JBC85	Bourne	Jason	direct banking	416	"9 Fearon Ave, May Pen"	Clarendon	1-876-424-4743	12/16/1988	10433913	Personal	375690609198028	416309	4993557
HDW05	Dent	Harvey	savings	4658416	"144 Barnett St., Montego Bay"	St. James	1-876-484-6108	4/10/1990	13294210	Personal	375939459053985	515891	8529856
PCW44	Coulson	Phil	savings	7436546	"Propsper Rd., Lucea"	Hanover	1-876-598-2378	5/12/1992	13294210	Personal	378417319501607	809187	9698954
HWA12	Huwawei Jamaica	Shenzen Telecoms Caribbean Ltd.	chequing	145689214.4	"14 Constant Sprint Road, Kgn 10"	"Kingston and St. Andrew"""	"1-876-633-1859, 1-876-631-5587"	JBX09,THW03	080-121-82	Business	376535223472797	986763	5734727
DIG01	Digicel	Mossel Jamaica Ltd.	investment	3245455250	"15 Ocean Boulevard, Kingston"	Kingston and St. Andrew	"1-876-633-1000, 1-876-631-5000"	SHW34	051-538-33	Business	340509278816631	462574	2367085	
